Outside,Outside,Outside,,,,,,,,,,,,,,,,,,,,,,
333,2,Unknown(Open Area),,402,314,401,,331,,,,,,,,,,,,,,,,
331,2,Unknown(Private Office),,Outside,314,,333,329,,,,,,,,,,,,,,,,
329,2,Unknown(Private Office),,Outside,314,,331,327,,,,,,,,,,,,,,,,
327,2,Unknown(Private Office),,Outside,314,,329,323,,,,,,,,,,,,,,,,
323,2,Unknown(Private Office),,Outside,314,,327,319,,,,,,,,,,,,,,,,
319,2,Unknown(Private Office),,Outside,314,,ST3,323,,,,,,,,,,,,,,,,
ST3,2,Unknown(Elevator/Stair),,324,,319,314,,,,,,,,,,,,,,,,,
314,2,Unknown(Corridor),,319,323,327,329,331,333,337,322,320,324,,ST3,312,308,,,,,,,
320,2,Unknown(Private Office),,314,,322,304,,,,,,,,,,,,,,,,,
322,2,Unknown(Private Office),,314,,320,302,337,,,,,,,,,,,,,,,,
337,2,Unknown(Open Area),,314,324,,322,302,422,004,,,,,,,,,,,,,,
302,2,Unknown(Private Office),,324,,304,337,322,,,,,,,,,,,,,,,,
304,2,Unknown(Private Office),,324,,308,320,302,,,,,,,,,,,,,,,,
308,2,Unknown(Private Office),,324,,312,314,304,,,,,,,,,,,,,,,,
312,2,Unknown(Private Office),,324,,314,308,,,,,,,,,,,,,,,,,
324,2,Unknown(Corridor),,Outside,ST3,314,312,308,304,302,337,301,303,309,311,313,317,004,,,,,,
317,2,Unknown(Private Office),,Outside,324,,313,,,,,,,,,,,,,,,,,
313,2,Unknown(Private Office),,Outside,324,,317,311,,,,,,,,,,,,,,,,
311,2,Unknown(Private Office),,Outside,324,,313,309,,,,,,,,,,,,,,,,
309,2,Unknown(Private Office),,Outside,324,,311,303,,,,,,,,,,,,,,,,
303,2,Unknown(Private Office),,Outside,324,,309,301,,,,,,,,,,,,,,,,
301,2,Unknown(Private Office),,005,324,ST4,,202,,,,,,,,,,,,,,,,
005,2,Unknown(Corridor),,Outside,006,301,324,,202,,,,,,,,,,,,,,,
202,2,Unknown(Private Office),,ST4,,204,301,,,,,,,,,,,,,,,,,
ST4,2,Unknown(Elevator/Stair),,202,204,205,212,002,003,301,004,,201,,,,,,,,,,,
204,2,Unknown(Private Office),,ST4,,202,205,006,212,,,,,,,,,,,,,,,
205,2,Unknown(Private Office),,ST4,,204,212,,,,,,,,,,,,,,,,,
006,2,Unknown(Corridor),,Outside,005,212,,204,,,,,,,,,,,,,,,,
003,2,Unknown(Corridor),,Outside,ST4,001,,,,,,,,,,,,,,,,,,
002,2,Unknown(Corridor),,Outside,ST4,001,,,,,,,,,,,,,,,,,,
010,2,Unknown(Private Office),,Outside,109,,,,,,,,,,,,,,,,,,,
109,2,Unknown(Private Office),,Outside,010,001,,107,,,,,,,,,,,,,,,,
107,2,Unknown(Private Office),,Outside,001,,109,105,,,,,,,,,,,,,,,,
001,2,Unknown(Open Area),,003,002,109,101,103,105,107,,,,,,,,,,,,,,
105,2,Unknown(Private Office),,Outside,001,,107,103,,,,,,,,,,,,,,,,
103,2,Unknown(Private Office),,Outside,001,,105,101,,,,,,,,,,,,,,,,
101,2,Unknown(Private Office),,Outside,001,,103,,,,,,,,,,,,,,,,,
212,2,Unknown(Open Area),,Outside,006,ST4,201,207,216,,,,,,,,,,,,,,,
216,2,Unknown(Open Area),,212,218,226,209,,,,,,,,,,,,,,,,,
201,2,Unknown(Private Office),,Outside,212,,ST4,207,,,,,,,,,,,,,,,,
207,2,Unknown(Private Office),,Outside,212,,201,209,,,,,,,,,,,,,,,,
209,2,Unknown(Private Office),,Outside,216,,207,211,,,,,,,,,,,,,,,,
211,2,Unknown(Private Office),,Outside,218,,209,213,,,,,,,,,,,,,,,,
218,2,Unknown(Open Area),,216,211,213,007,219,,,,,,,,,,,,,,,,
213,2,Unknown(Private Office),,Outside,218,,211,007,,,,,,,,,,,,,,,,
007,2,Unknown(Private Office),,Outside,218,,213,219,,,,,,,,,,,,,,,,
219,2,Unknown(Private Office),,Outside,218,,ST1,007,,,,,,,,,,,,,,,,
ST1,2,Unknown(Elevator/Stair),,226,,219,223,,,,,,,,,,,,,,,,,
223,2,Unknown(Private Office),,Outside,226,,ST1,227,,,,,,,,,,,,,,,,
